party_family,year,environment_climate_issue1_sum,environment_climate_issue1_mean,healthcare_issue1_sum,healthcare_issue1_mean,climate_health_sum,climate_health_mean
Communist/Socialist,2011.0,73,0.01597723790763843,375,0.08207485226526592,22,0.004815057999562267
Communist/Socialist,2012.0,115,0.023789822093504345,396,0.0819197352089367,27,0.005585436491518411
Communist/Socialist,2013.0,109,0.021730462519936204,364,0.07256778309409888,21,0.004186602870813397
Communist/Socialist,2014.0,137,0.023604410751206065,419,0.07219159200551344,19,0.003273604410751206
Communist/Socialist,2015.0,133,0.02120873863817573,398,0.06346675171424015,19,0.0030298198054536755
Communist/Socialist,2016.0,143,0.022968197879858657,506,0.0812720848056537,18,0.0028911018310311598
Communist/Socialist,2017.0,165,0.025482625482625483,588,0.09081081081081081,20,0.003088803088803089
Communist/Socialist,2018.0,149,0.025004195334787715,576,0.09666051350897802,25,0.00419533478771606
Communist/Socialist,2019.0,277,0.05264158114785253,608,0.11554541999239833,29,0.005511212466742683
Communist/Socialist,2020.0,198,0.02436023622047244,1417,0.17433562992125984,38,0.004675196850393701
Communist/Socialist,2021.0,202,0.03872699386503067,755,0.14474693251533743,28,0.005368098159509203
Communist/Socialist,2022.0,271,0.024144689950106914,936,0.08339272986457591,77,0.0068602993585174625
Communist/Socialist,2023.0,228,0.032455516014234874,584,0.08313167259786478,35,0.00498220640569395
Communist/Socialist,2024.0,213,0.029206088029617442,675,0.0925545043192102,69,0.009461127108185932
Conservative,2010.0,25,0.0070126227208976155,87,0.024403927068723703,15,0.004207573632538569
Conservative,2011.0,37,0.0118324272465622,99,0.03165973776782859,23,0.007355292612727854
Conservative,2012.0,43,0.012129760225669958,170,0.047954866008462625,37,0.010437235543018336
Conservative,2013.0,54,0.015499425947187142,164,0.04707233065442021,49,0.014064293915040185
Conservative,2014.0,59,0.018952778670093158,118,0.037905557340186316,29,0.009315772566655958
Conservative,2015.0,107,0.015901322633377915,236,0.03507207608857185,30,0.004458314757021846
Conservative,2016.0,73,0.009903676570343236,357,0.04843304843304843,34,0.004612671279337946
Conservative,2017.0,121,0.016639163916391638,410,0.05638063806380638,38,0.005225522552255226
Conservative,2018.0,87,0.01929902395740905,318,0.07054125998225377,22,0.0048802129547471165
